index,success,reason,regression,run
1,1,,1,1
2,1,,1,1
3,1,,1,2
4,1,,1,2
5,0,slip,1,3
6,1,,1,3
7,1,,1,4
8,1,,1,4
9,0,slip,1,5
10,1,,1,5
11,0,slip,1,6
12,1,,1,6
13,1,,1,7
14,0,slip,1,7
15,1,,1,8
16,0,slip,1,8
17,1,,0,9
18,1,,0,9
19,0,slip,1,10
20,1,,1,10
21,1,,1,11
22,1,,1,11
23,0,slip,0,12
24,1,,0,12
25,1,,1,13
26,1,,1,13
27,1,,0,14
28,1,,0,14
29,0,slip,1,15
30,0,slip,1,15
31,0,slip,1,16
32,0,slip,1,16
33,0,slip,0,17
34,0,slip,0,17
35,0,slip,1,18
36,0,slip,1,18
37,0,slip,1,19
38,0,slip,1,19
39,1,,1,20
40,1,,1,20
41,1,,1,21
42,1,,1,21
43,1,,1,22
44,1,,1,22
45,1,,0,23
46,1,,0,23
47,1,,1,24
48,1,,1,24
49,1,,0,25
50,1,,0,25
51,1,,1,26
52,1,,1,26
53,1,,1,27
54,1,,1,27
55,1,,1,28
56,1,,1,28
57,1,,0,29
58,1,,0,29
59,1,,0,30
60,1,,0,30
61,1,,0,31
62,1,,0,31
63,1,,0,32
64,1,,0,32
65,1,,0,33
66,1,,0,33
67,1,,0,34
68,1,,0,34
69,1,,0,35
70,1,,0,35
71,1,,0,36
72,1,,0,36
73,1,,0,37
74,1,,0,37
75,1,,0,38
76,1,,0,38
77,1,,1,39
78,1,,1,39
79,1,,1,40
80,1,,1,40
81,1,,1,41
82,1,,1,41
83,1,,1,42
84,1,,1,42
85,1,,1,43
86,1,,1,43
87,1,,1,44
88,1,,1,44
89,1,,1,45
90,1,,1,45
91,1,,1,46
92,1,,1,46
93,1,,1,47
94,1,,1,47
95,1,,1,48
96,1,,1,48
97,1,,1,49
98,1,,1,49
99,1,,1,50
100,1,,1,50
101,1,,1,51
102,1,,1,51
103,1,,1,52
104,1,,1,52
105,1,,1,53
106,1,,1,53
107,1,,1,54
108,1,,1,54
109,1,,1,55
110,1,,1,55
111,1,,1,56
112,1,,1,56
113,1,,1,57
114,1,,1,57
115,1,,1,58
116,1,,1,58
117,1,,1,59
118,1,,1,59
119,1,,1,60
120,1,,1,60
121,1,,1,61
122,1,,1,61
123,1,,-1,62
124,1,,1,62
125,1,,1,63
126,1,,1,63
127,1,,1,64
128,1,,1,64
129,1,,1,65
130,1,,1,65
131,1,,1,66
132,1,,1,66
133,1,,1,67
134,1,,1,67
135,1,,1,68
136,1,,1,68
137,1,,1,69
138,1,,1,69
139,1,,1,70
140,1,,1,70
141,1,,1,71
142,1,,1,71
143,1,,1,72
144,1,,1,72
145,1,,1,73
146,1,,1,73
147,1,,1,74
148,1,,1,74
149,1,,1,75
150,1,,1,75
151,1,,1,76
152,1,,1,76
153,1,,1,77
154,1,,1,77
155,1,,1,78
156,1,,1,78
157,-1,initial pos error,-1,79
158,-1,initial pos error,-1,79
159,0,no pen,-1,80
160,0,no pen,-1,80
161,1,no pen,-1,81
162,1,no pen,-1,81
163,1,,1,82
164,1,,1,82
165,1,,1,83
166,1,,1,83
167,1,,1,84
168,1,,1,84
169,1,,1,85
170,1,,1,85
171,1,,1,86
172,1,,1,86
173,1,,-1,87
174,1,,-1,87
175,1,,1,88
176,1,,1,88
177,1,,1,89
178,1,,1,89
179,1,,1,90
180,1,,1,90
181,0,no manip,0,91
182,0,no manip,0,91
183,0,no pen,0,92
184,0,no pen,0,92
185,0,no pen,0,93
186,0,no pen,0,93
187,0,no pen,0,94
188,0,no pen,0,94
189,0,no manip,0,95
190,0,no manip,0,95
191,0,no manip,0,96
192,0,no manip,0,96
193,0,no pen,0,97
194,0,no pen,0,97
195,0,no manip,0,98
196,0,no manip,0,98
197,0,no manip,0,99
198,0,no manip,0,99
199,0,no manip,0,100
200,0,no manip,0,100
201,1,,1,101
202,1,,1,101
203,1,,1,102
204,1,,1,102
205,1,,1,103
206,1,,1,103
207,1,,1,104
208,1,,1,104
209,1,,1,105
210,1,,1,105
211,1,,1,106
212,1,,1,106
213,1,,1,107
214,1,,1,107
215,1,,1,108
216,1,,1,108
217,1,,1,109
218,1,,1,109
219,1,,0,110
220,1,,0,110
221,0,no pen,0,111
222,0,no pen,0,111
223,0,no pen,0,112
224,0,no pen,0,112
225,0,no pen,0,113
226,0,no pen,0,113
227,0,no pen,0,114
228,0,no pen,0,114
229,0,no pen,0,115
230,0,no pen,0,115
231,0,no manip,0,116
232,0,no manip,0,116
233,0,no manip,0,117
234,0,no manip,0,117
235,0,no manip,0,118
236,0,no manip,0,118
237,0,no manip,0,119
238,0,no manip,0,119
239,0,no manip,0,120
240,0,no manip,0,120
241,0,no manip,0,121
242,0,no manip,0,121
243,0,no manip,0,122
244,0,no manip,0,122
245,0,no manip,0,123
246,0,no manip,0,123
247,0,no manip,0,124
248,0,no manip,0,124
249,0,no manip,0,125
250,0,no manip,0,125